model,age_group,feature,importance
CatBoost,Age < 2,LOCSeparate,16.304152399152816
CatBoost,Age < 2,HemaLoc,7.736420143946542
CatBoost,Age < 2,AMS,7.695095266627697
CatBoost,Age < 2,SFxPalp,7.037532155122578
CatBoost,Age < 2,ActNorm,6.648682986792831
CatBoost,Age < 2,GCSTotal,5.334596895389585
CatBoost,Age < 2,AMSOth,5.098545240400558
CatBoost,Age < 2,AMSSlow,3.818360125377009
CatBoost,Age < 2,ClavNeck,3.654000283852202
CatBoost,Age < 2,GCSVerbal,3.5088995010002244
CatBoost,Age < 2,ClavPar,3.1102257075675688
CatBoost,Age < 2,AMSAgitated,2.9490048521873145
CatBoost,Age < 2,ClavOcc,2.3364275764419937
CatBoost,Age < 2,High_impact_InjSev,2.108814882342179
CatBoost,Age < 2,Amnesia_verb,2.085684159528994
CatBoost,Age < 2,GCSEye,1.9851230027150721
CatBoost,Age < 2,Seiz,1.9450359681883016
CatBoost,Age < 2,FontBulg,1.814233844279179
CatBoost,Age < 2,HemaSize,1.5923398379319302
CatBoost,Age < 2,NeuroD,1.5240333382395084
CatBoost,Age < 2,OSICut,1.495537803145397
CatBoost,Age < 2,VomitNbr,1.451580311166318
CatBoost,Age < 2,AMSRepeat,1.3629149224062647
CatBoost,Age < 2,OSICspine,1.0602018554803412
CatBoost,Age < 2,Intubated,0.9014850278059173
CatBoost,Age < 2,Hema,0.8454991796575484
CatBoost,Age < 2,Dizzy,0.8427028577606632
CatBoost,Age < 2,OSIFlank,0.6484085794516204
CatBoost,Age < 2,VomitStart,0.5583668957720648
CatBoost,Age < 2,LocLen,0.4411762056061439
CatBoost,Age < 2,OSI,0.39429129536769447
CatBoost,Age < 2,AMSSleep,0.3370778919450098
CatBoost,Age < 2,OSIAbdomen,0.3318256405670001
CatBoost,Age < 2,OSIPelvis,0.2464278643789643
CatBoost,Age < 2,SFxBas,0.24508671198900148
CatBoost,Age < 2,OSIOth,0.20056387987596314
CatBoost,Age < 2,SeizOccur,0.13306536113673753
CatBoost,Age < 2,ClavTem,0.09803476529486184
CatBoost,Age < 2,OSIExtremity,0.049643145230641145
CatBoost,Age < 2,Sedated,0.041081340069052265
CatBoost,Age < 2,SeizLen,0.027820298808658165
CatBoost,Age < 2,Clav,0.0
CatBoost,Age < 2,Drugs,0.0
CatBoost,Age < 2,GCSGroup,0.0
CatBoost,Age < 2,GCSMotor,0.0
CatBoost,Age < 2,HA_verb,0.0
CatBoost,Age < 2,InjuryMech,0.0
CatBoost,Age < 2,Race,0.0
CatBoost,Age < 2,Vomit,0.0
CatBoost,Age < 2,VomitLast,0.0
CatBoost,Age >= 2,AMS,9.7315393073108
CatBoost,Age >= 2,ActNorm,9.381688493550353
CatBoost,Age >= 2,LOCSeparate,8.946638172810834
CatBoost,Age >= 2,AMSRepeat,6.693281891726227
CatBoost,Age >= 2,AMSSlow,4.853073885190913
CatBoost,Age >= 2,Amnesia_verb,4.704915947427445
CatBoost,Age >= 2,High_impact_InjSev,4.1906171128831025
CatBoost,Age >= 2,HA_verb,3.364000617479582
CatBoost,Age >= 2,InjuryMech,3.166004773166843
CatBoost,Age >= 2,LocLen,3.132707522765325
CatBoost,Age >= 2,ClavPar,2.7709993085642193
CatBoost,Age >= 2,HemaSize,2.5025179336998122
CatBoost,Age >= 2,AMSOth,2.4179095802858677
