model,split,age_group,rep,sensitivity,specificity,npv
CDR,train,<2,0,0.9855072463768116,0.4870863599677159,0.999723909442297
CDR,train,<2,1,0.9710144927536232,0.4870863599677159,0.9994479712945074
CDR,train,<2,2,0.9855072463768116,0.4907183212267958,0.9997259523157029
CDR,train,<2,3,0.9710144927536232,0.4868173258003766,0.9994476663904999
CDR,train,<2,4,0.9855072463768116,0.4942157654022061,0.9997278911564625
CDR,train,<2,5,1.0,0.48560667204735003,1.0
CDR,train,<2,6,0.9710144927536232,0.4938122141511972,0.999455485978764
CDR,train,<2,7,0.9855072463768116,0.4864137745493678,0.9997235277854576
CDR,train,<2,8,0.9855072463768116,0.48614474038202854,0.9997233748271093
CDR,train,<2,9,0.9710144927536232,0.4934086629001883,0.9994550408719346
CDR,train,<2,10,0.9855072463768116,0.4911218724778047,0.9997261774370209
CDR,train,<2,11,0.9855072463768116,0.4858757062146893,0.9997232216994187
CDR,train,<2,12,0.9710144927536232,0.49098735539413507,0.9994523548740416
CDR,train,<2,13,0.9855072463768116,0.49408124831853645,0.9997278170930866
CDR,train,<2,14,1.0,0.48950766747376917,1.0
CDR,train,<2,15,0.9710144927536232,0.48802797955340327,0.9994490358126722
CDR,train,<2,16,0.9855072463768116,0.4924670433145009,0.9997269251774986
CDR,train,<2,17,0.9855072463768116,0.4912563895614743,0.9997262523952916
CDR,train,<2,18,0.9855072463768116,0.48937315039009954,0.9997251992305578
CDR,train,<2,19,0.9855072463768116,0.48748991121872476,0.9997241379310344
CDR,train,<2,20,1.0,0.48896959913909066,1.0
CDR,train,<2,21,0.9855072463768116,0.48950766747376917,0.9997252747252747
CDR,train,<2,22,0.9855072463768116,0.48950766747376917,0.9997252747252747
CDR,train,<2,23,0.9855072463768116,0.49044928705945656,0.999725802029065
CDR,train,<2,24,0.9855072463768116,0.48950766747376917,0.9997252747252747
CDR,train,<2,25,0.9855072463768116,0.49650255582458974,0.9997291440953413
CDR,train,<2,26,0.9855072463768116,0.4932741458165187,0.9997273718647764
CDR,train,<2,27,0.9855072463768116,0.4928705945655098,0.9997271487039563
CDR,train,<2,28,0.9855072463768116,0.49085283831046544,0.9997260273972602
CDR,train,<2,29,0.9855072463768116,0.4932741458165187,0.9997273718647764
CDR,train,<2,30,0.9855072463768116,0.4897767016411084,0.999725425590335
CDR,train,<2,31,0.9710144927536232,0.49219800914716166,0.9994537011745425
CDR,train,<2,32,0.9855072463768116,0.4864137745493678,0.9997235277854576
CDR,train,<2,33,0.9855072463768116,0.4912563895614743,0.9997262523952916
CDR,train,<2,34,0.9855072463768116,0.4905838041431262,0.9997258771929824
CDR,train,<2,35,0.9855072463768116,0.49139090664514395,0.9997263273125342
CDR,train,<2,36,0.9855072463768116,0.4882970137207425,0.9997245937758193
CDR,train,<2,37,1.0,0.48802797955340327,1.0
CDR,train,<2,38,0.9855072463768116,0.4897767016411084,0.999725425590335
CDR,train,<2,39,1.0,0.4905838041431262,1.0
CDR,train,<2,40,0.9855072463768116,0.4947538337368846,0.9997281870073389
CDR,train,<2,41,1.0,0.4876244283023944,1.0
CDR,train,<2,42,0.9855072463768116,0.4865482916330374,0.9997236042012161
CDR,train,<2,43,0.9855072463768116,0.48627925746569817,0.9997234513274337
CDR,train,<2,44,0.9855072463768116,0.48883508205542103,0.9997248968363136
CDR,train,<2,45,0.9855072463768116,0.48883508205542103,0.9997248968363136
CDR,train,<2,46,0.9855072463768116,0.4872208770513855,0.9997239856472536
CDR,train,<2,47,0.9855072463768116,0.4911218724778047,0.9997261774370209
CDR,train,<2,48,0.9855072463768116,0.4912563895614743,0.9997262523952916
CDR,train,<2,49,0.9710144927536232,0.49515738498789347,0.9994569644311703
CDR,val,<2,0,1.0,0.4962335216572505,1.0
CDR,val,<2,1,1.0,0.4924670433145009,1.0
CDR,val,<2,2,1.0,0.5084745762711864,1.0
CDR,val,<2,3,1.0,0.5018832391713748,1.0
CDR,val,<2,4,1.0,0.4971751412429379,1.0
CDR,val,<2,5,1.0,0.4905838041431262,1.0
CDR,val,<2,6,1.0,0.4962335216572505,1.0
CDR,val,<2,7,1.0,0.4858757062146893,1.0
CDR,val,<2,8,1.0,0.4915254237288136,1.0
CDR,val,<2,9,1.0,0.4896421845574388,1.0
CDR,val,<2,10,1.0,0.4962335216572505,1.0
CDR,val,<2,11,1.0,0.4943502824858757,1.0
CDR,val,<2,12,1.0,0.4981167608286252,1.0
CDR,val,<2,13,1.0,0.4952919020715631,1.0
CDR,val,<2,14,1.0,0.4971751412429379,1.0
CDR,val,<2,15,1.0,0.504708097928437,1.0
CDR,val,<2,16,1.0,0.4981167608286252,1.0
CDR,val,<2,17,1.0,0.5009416195856874,1.0
CDR,val,<2,18,1.0,0.4934086629001883,1.0
CDR,val,<2,19,1.0,0.4915254237288136,1.0
CDR,val,<2,20,1.0,0.4990583804143126,1.0
CDR,val,<2,21,1.0,0.4915254237288136,1.0
