model,age_group,threshold,split,Sensitivity,Specificity,NPV,ROC_AUC,PR_AUC,Precision,TP,FN,TN,FP,n,pos
CDR,Age < 2,,train,0.9855072463768116,0.5377993005111649,0.9997499374843711,,,0.019406392694063926,68,1,3998,3436,7503,69
CDR,Age < 2,,val,1.0,0.544256120527307,1.0,,,0.020242914979757085,10,0,578,484,1072,10
CDR,Age < 2,,test,1.0,0.5419020715630886,1.0,,,0.019153225806451613,19,0,1151,973,2143,19
CDR,Age >= 2,,train,0.9690721649484536,0.5753979081400636,0.9995260289122364,,,0.01973753280839895,188,6,12653,9337,22184,194
CDR,Age >= 2,,val,0.9642857142857143,0.5814767663908339,0.99945295404814,,,0.020119225037257823,27,1,1827,1315,3170,28
CDR,Age >= 2,,test,0.9642857142857143,0.5825907065563335,0.9994539994539995,,,0.020171834142697048,54,2,3661,2623,6340,56
Logistic Regression,Age < 2,0.02,train,0.9339622641509434,0.7088489687292082,0.9986876640419947,0.9321595802106478,0.3685151022446466,0.043288150415391344,99,7,5327,2188,7621,106
Logistic Regression,Age < 2,0.02,val,1.0,0.7225325884543762,1.0,0.9364680322780881,0.2831212637025784,0.04792332268370607,15,0,776,298,1089,15
Logistic Regression,Age < 2,0.02,test,0.8,0.7079646017699115,0.9960681520314548,0.8416239714330073,0.26119335425423534,0.03686635944700461,24,6,1520,627,2177,30
Logistic Regression,Age >= 2,0.1,train,0.7288135593220338,0.9268150408328099,0.9946068281408003,0.9361907898182096,0.3835353743221267,0.15579710144927536,301,112,20655,1631,22699,413
Logistic Regression,Age >= 2,0.1,val,0.8103448275862069,0.9280778894472361,0.9962913014160486,0.950003249003639,0.407577440350045,0.17028985507246377,47,11,2955,229,3242,58
Logistic Regression,Age >= 2,0.1,test,0.7692307692307693,0.9331240188383045,0.995478144364428,0.9416589515490614,0.3788761642633354,0.1744186046511628,90,27,5944,426,6487,117
CatBoost,Age < 2,0.2,train,1.0,0.6579821879569321,1.0,0.9619081729609444,0.5268184412087019,0.04028347631480791,108,0,4950,2573,7631,108
CatBoost,Age < 2,0.2,val,0.9333333333333333,0.6902325581395349,0.9986541049798116,0.9433178294573643,0.38878326564893195,0.040345821325648415,14,1,742,333,1090,15
CatBoost,Age < 2,0.2,test,0.8333333333333334,0.6679069767441861,0.9965301873698821,0.8543488372093024,0.3882248145183857,0.03382949932341001,25,5,1436,714,2180,30
CatBoost,Age >= 2,0.2,train,0.9812646370023419,0.7572959160801542,0.9995266552275013,0.9641188129580732,0.5842233756667884,0.07183267615292302,419,8,16893,5414,22734,427
CatBoost,Age >= 2,0.2,val,0.9672131147540983,0.7558832758079699,0.9991704686851929,0.9638541822053733,0.6440555269033137,0.07048984468339307,59,2,2409,778,3248,61
CatBoost,Age >= 2,0.2,test,0.9836065573770492,0.7596485723250705,0.999587118084228,0.9650102619761635,0.5639474870272301,0.07263922518159806,120,2,4842,1532,6496,122
