epoch,step,train_loss_epoch,train_loss_step,val_loss
0,199,,0.08954272419214249,
0,224,,,0.14836633205413818
0,224,0.08897816389799118,,
1,399,,0.08671046793460846,
1,449,,,0.14836423099040985
1,449,0.08883844316005707,,
2,599,,0.08974489569664001,
2,674,,,0.14836369454860687
2,674,0.08877801895141602,,
3,799,,0.09631908684968948,
3,899,,,0.14832530915737152
3,899,0.08872028440237045,,
4,999,,0.08811439573764801,
4,1124,,,0.14842787384986877
4,1124,0.0887012779712677,,
5,1199,,0.08233699202537537,
5,1349,,,0.14839738607406616
5,1349,0.08867114782333374,,
6,1399,,0.09398721903562546,
6,1574,,,0.1484251320362091
6,1574,0.08866850286722183,,
7,1599,,0.08796991407871246,
7,1799,,0.08400037884712219,
7,1799,,,0.14840149879455566
7,1799,0.08864471316337585,,
8,1999,,0.08784737437963486,
8,2024,,,0.14833591878414154
8,2024,0.08859855681657791,,
9,2199,,0.09588780999183655,
9,2249,,,0.14827501773834229
9,2249,0.08859404921531677,,
10,2399,,0.09289288520812988,
10,2474,,,0.14835026860237122
10,2474,0.08855923265218735,,
11,2599,,0.0852554440498352,
11,2699,,,0.1483403742313385
11,2699,0.08856417238712311,,
12,2799,,0.08926303684711456,
12,2924,,,0.14836984872817993
12,2924,0.08852766454219818,,
13,2999,,0.08436083793640137,
13,3149,,,0.14839689433574677
13,3149,0.08851825445890427,,
14,3199,,0.08928211033344269,
14,3374,,,0.14837588369846344
14,3374,0.08850472420454025,,
15,3399,,0.09024728089570999,
15,3599,,0.0870000496506691,
15,3599,,,0.14842011034488678
15,3599,0.08848825842142105,,
16,3799,,0.08332648873329163,
16,3824,,,0.14843110740184784
16,3824,0.08848289400339127,,
17,3999,,0.08020369708538055,
17,4049,,,0.14840421080589294
17,4049,0.08845344930887222,,
18,4199,,0.08932734280824661,
18,4274,,,0.14845657348632812
18,4274,0.0884384959936142,,
19,4399,,0.09275422245264053,
19,4499,,,0.14851075410842896
19,4499,0.0884946957230568,,
