group,mean,std,median,feature
FN_missed_cloud,1376.2059222905323,1218.1874734115559,1032.5658569335938,SD
FP_false_cloud,773.8067570712577,565.904917097686,622.542236328125,SD
TN,89.82433456016749,263.3049419801073,37.38686752319336,SD
TP,705.9835514457839,406.0663206958252,619.140625,SD
FN_missed_cloud,0.6674112408008013,0.3288645296082867,0.791253924369812,CORR
FP_false_cloud,0.8225442134584758,0.22529902469250687,0.9094985723495485,CORR
TN,0.2633953484912855,0.40346054791806696,0.2296010553836822,CORR
TP,0.19627222013607312,0.3135071973420018,0.1608257591724395,CORR
FN_missed_cloud,23643.652777777777,9517.426091994543,25032.625,DF
FP_false_cloud,24291.581123632746,4092.664501257681,25316.0,DF
TN,28616.5178773265,2413.8116153017986,29115.75,DF
TP,30981.814052298043,3749.313490035598,31247.25,DF
FN_missed_cloud,19971.727272727272,8473.003869605747,22398.125,CF
FP_false_cloud,22145.082283725555,3971.927898840971,23756.5,CF
TN,27540.1887197649,2527.8883533563435,28121.25,CF
TP,25374.45629880937,4116.727653085035,25847.25,CF
FN_missed_cloud,16989.866161616163,7598.486585581386,19434.25,BF
FP_false_cloud,19535.9666058999,3985.768292987652,20287.25,BF
TN,25365.98194685153,2355.735785713562,25945.0,BF
TP,20480.063384969915,4425.767448961035,21334.25,BF
FN_missed_cloud,15130.714646464647,6947.66336318439,17721.5,AF
FP_false_cloud,17195.465860125954,3934.335735271919,17350.75,AF
TN,23035.296680732423,2187.9369611824777,23550.25,AF
TP,17195.3234348995,4699.807042661844,18265.0,AF
FN_missed_cloud,14193.118686868687,6410.726730339995,16466.375,AN
FP_false_cloud,15720.943155452436,3726.336930281473,15790.25,AN
TN,21384.772222640848,2046.2580135638104,21818.0,AN
TP,15861.939207527845,4676.273384025571,16981.25,AN
FN_missed_cloud,0.23505591602491618,0.11990339377680363,0.20543869897393346,NDAI_DF_AF
FP_false_cloud,0.1774240131500279,0.0664171983036129,0.1824766394102887,NDAI_DF_AF
TN,0.10920776907942209,0.023999333228099377,0.1028047293356444,NDAI_DF_AF
TP,0.2991398752860133,0.10366184865819848,0.2618461239897677,NDAI_DF_AF
