bin,error_rate,n,feature
"(15.403, 29.007]",0.0,8210,SD
"(29.007, 34.361]",0.0,8207,SD
"(34.361, 43.961]",0.0,8209,SD
"(43.961, 78.289]",0.0004873888144267089,8207,SD
"(78.289, 243.248]",0.0677305396516019,8209,SD
"(243.248, 405.488]",0.058357699805068226,8208,SD
"(405.488, 563.274]",0.05031676413255361,8208,SD
"(563.274, 753.97]",0.04739278752436647,8208,SD
"(753.97, 1038.703]",0.057504873294346975,8208,SD
"(1038.703, 5779.712]",0.1098794006578146,8209,SD
"(-0.901, -0.2]",0.0043854306249238644,8209,CORR
"(-0.2, -0.0687]",0.0028021442495126704,8208,CORR
"(-0.0687, 0.0272]",0.001583820662768031,8208,CORR
"(0.0272, 0.116]",0.002071150097465887,8208,CORR
"(0.116, 0.21]",0.004141795590205871,8209,CORR
"(0.21, 0.319]",0.006457115009746588,8208,CORR
"(0.319, 0.454]",0.01023391812865497,8208,CORR
"(0.454, 0.623]",0.020224171539961013,8208,CORR
"(0.623, 0.82]",0.052875243664717346,8208,CORR
"(0.82, 0.983]",0.2868802533804361,8209,CORR
"(4903.999, 26204.35]",0.2706785235716896,8209,DF
"(26204.35, 27859.5]",0.055893813930832925,8212,DF
"(27859.5, 28581.25]",0.01718045570854149,8207,DF
"(28581.25, 29133.75]",0.008162768031189083,8208,DF
"(29133.75, 29508.5]",0.004750304506699147,8210,DF
"(29508.5, 29909.5]",0.007189861077260541,8206,DF
"(29909.5, 30558.0]",0.00901449628456572,8209,DF
"(30558.0, 32161.25]",0.009382234677714147,8207,DF
"(32161.25, 34190.65]",0.007189861077260541,8206,DF
"(34190.65, 51807.125]",0.0021927153124619322,8209,DF
"(2544.749, 12557.0]",0.04323468517841919,8211,AF
"(12557.0, 15876.85]",0.11650012186205215,8206,AF
"(15876.85, 19273.7]",0.06846978557504874,8208,AF
"(19273.7, 20926.75]",0.0934340358143501,8209,AF
"(20926.75, 21807.5]",0.03423489278752437,8208,AF
"(21807.5, 22492.75]",0.015836277256669508,8209,AF
"(22492.75, 23151.35]",0.014987206043621299,8207,AF
"(23151.35, 23896.15]",0.004751461988304093,8208,AF
"(23896.15, 24288.0]",0.0,8212,AF
"(24288.0, 29861.75]",0.0002437538086532602,8205,AF
"(2528.749, 11097.75]",0.03788063337393423,8210,AN
"(11097.75, 14533.95]",0.12830510539783113,8207,AN
"(14533.95, 17941.25]",0.06747868453105968,8210,AN
"(17941.25, 19537.25]",0.09270313071019613,8209,AN
"(19537.25, 20196.5]",0.03058737509139654,8206,AN
"(20196.5, 20889.0]",0.017907175051772445,8209,AN
"(20889.0, 21546.75]",0.010110853940796687,8209,AN
"(21546.75, 22200.4]",0.006458688764318791,8206,AN
"(22200.4, 22682.25]",0.00012175818823815901,8213,AN
"(22682.25, 29097.0]",0.00012189176011701609,8204,AN
"(-0.115, 0.0951]",0.011816299183822633,8209,NDAI_DF_AF
"(0.0951, 0.1]",0.011208576998050682,8208,NDAI_DF_AF
"(0.1, 0.106]",0.021442495126705652,8208,NDAI_DF_AF
"(0.106, 0.121]",0.05165692007797271,8208,NDAI_DF_AF
"(0.121, 0.162]",0.07382141551955171,8209,NDAI_DF_AF
"(0.162, 0.219]",0.1307261208576998,8208,NDAI_DF_AF
"(0.219, 0.241]",0.04227582846003899,8208,NDAI_DF_AF
"(0.241, 0.287]",0.024244639376218322,8208,NDAI_DF_AF
"(0.287, 0.38]",0.017422027290448342,8208,NDAI_DF_AF
"(0.38, 0.785]",0.007065416006821781,8209,NDAI_DF_AF
